0,Digital_Document_File,0.000534,Device
1,Account_Type,0.000178,Human
2,Pre-Paid_Debit_Card_Information,0.000356,Human
3,Administrator_Password,0.000356,Human
4,Unemployment_Benefits,0.001246,Organization
5,Medical_Service_Code,0.000178,Human
6,Languages_Spoken,0.000356,Human
7,SIM_Card_Data,0.000178,Device
8,e-Billing_Statement,0.000534,Human
9,1099_Form_Information,0.000178,Organization
10,Child's_Date_of_Birth,0.00089,Human
11,Phony_Mailing_Address,0.000356,Human
12,Description_of_Health_Care_Services,0.005519,Human
13,Credit_Card_Information,0.141001,Human
14,User_Comment,0.000178,Human
15,Video_with_PII,0.000712,Human
16,Travel_Information,0.001246,Human
17,Driver's_License_Expiration_Date,0.000178,Human
18,CPT_Code,0.001068,Human
19,Military_Rank,0.000356,Organization
20,ATM_Command_to_Depense_Money,0.000178,Human
21,Subscription_Key,0.000178,Organization
22,Student_Loan,0.001246,Human
23,Referring_Physician,0.000356,Human
24,Photo_ID,0.002492,Device
25,Citizenship_Status,0.001424,Human
26,Medical_Condition,0.000712,Human
27,Authentication_Token,0.000178,Human
28,Treating_Physician's_Name,0.00089,Human
29,WHOIS_Record,0.000178,Organization
30,Number_of_Dependants,0.000178,Human
31,Reason_for_Visit_to_Medical_Office,0.000534,Human
32,Client_Database,0.000356,Organization
33,Debit_Card_Number,0.002314,Human
34,Fake_ID_Card_Information,0.002848,Human
35,Retirement_Contribution_Amount,0.000356,Human
36,E-mail_Attachment,0.000356,Device
37,Voucher_Number,0.000178,Human
38,Private_PGP_Key,0.000178,Human
39,Product_Order_Date,0.000178,Human
40,Telnet_Credentials_for_IoT_Device,0.000178,Human
41,Fake_Company_Information,0.000534,Human
42,Course_Information,0.000178,Human
43,Employment_History,0.004807,Human
44,National_Insurance_Number,0.000712,Organization
45,Customer_Information,0.001602,Human
46,Bank_Name,0.001246,Organization
47,Tenure_Code,0.000356,Human
48,Device_Metadata,0.000178,Device
49,Medical_Service_Billing_Code,0.000178,Human
50,Password,0.045576,Human
